Key	Source	SourceType	Name	EdgeType	Target
0	Comment	Record	ID	Single	String
1	Comment	Record	Name	Single	String
2	Comment	Record	Value	Single	String
3	Remark	Record	Line	Single	
4	Remark	Record	Value	Single	
5	OntologyAnnotation	Record	ID	Single	String
6	OntologyAnnotation	Record	Name	Single	AnnotationValue
7	OntologyAnnotation	Record	TermSourceREF	Single	String
8	OntologyAnnotation	Record	TermAccessionNumber	Single	String
9	OntologyAnnotation	Record	Comments	Many	Comment
10	OntologySourceReference	Record	Description	Single	String
11	OntologySourceReference	Record	File	Single	String
12	OntologySourceReference	Record	Name	Single	String
13	OntologySourceReference	Record	Version	Single	String
14	OntologySourceReference	Record	Comments	Many	Comment
15	Factor	Record	ID	Single	String
16	Factor	Record	Name	Single	String
17	Factor	Record	FactorType	Single	OntologyAnnotation
18	Factor	Record	Comments	Many	Comment
19	Value	Union	Ontology	Case	OntologyAnnotation
20	Value	Union	Int	Case	Int32
21	Value	Union	Float	Case	Double
22	Value	Union	Name	Case	String
23	FactorValue	Record	ID	Single	String
24	FactorValue	Record	Category	Single	Factor
25	FactorValue	Record	Value	Single	Value
26	FactorValue	Record	Unit	Single	OntologyAnnotation
27	ProtocolParameter	Record	ID	Single	String
28	ProtocolParameter	Record	ParameterName	Single	OntologyAnnotation
29	Component	Record	ComponentName	Single	String
30	Component	Record	ComponentType	Single	OntologyAnnotation
31	Protocol	Record	ID	Single	String
32	Protocol	Record	Name	Single	String
33	Protocol	Record	ProtocolType	Single	OntologyAnnotation
34	Protocol	Record	Description	Single	String
35	Protocol	Record	Uri	Single	String
36	Protocol	Record	Version	Single	String
37	Protocol	Record	Parameters	Many	ProtocolParameter
38	Protocol	Record	Components	Many	Component
39	Protocol	Record	Comments	Many	Comment
40	MaterialAttribute	Record	ID	Single	String
41	MaterialAttribute	Record	CharacteristicType	Single	OntologyAnnotation
42	MaterialAttributeValue	Record	ID	Single	String
43	MaterialAttributeValue	Record	Category	Single	MaterialAttribute
44	MaterialAttributeValue	Record	Value	Single	Value
45	MaterialAttributeValue	Record	Unit	Single	OntologyAnnotation
46	MaterialType	Union	ExtractName	Case	Unit
47	MaterialType	Union	LabeledExtractName	Case	Unit
48	Material	Record	ID	Single	String
49	Material	Record	Name	Single	String
50	Material	Record	MaterialType	Single	MaterialType
51	Material	Record	Characteristics	Many	MaterialAttributeValue
52	Material	Record	DerivesFrom	Single	OntologyAnnotation
53	Data	Record	ID	Single	String
54	Data	Record	Name	Single	String
55	Data	Record	DataType	Single	DataFile
56	Data	Record	Comments	Many	Comment
57	Source	Record	ID	Single	String
58	Source	Record	Name	Single	String
59	Source	Record	Characteristics	Many	MaterialAttributeValue
60	Sample	Record	ID	Single	String
61	Sample	Record	Name	Single	String
62	Sample	Record	Characteristics	Many	MaterialAttributeValue
63	Sample	Record	FactorValues	Many	FactorValue
64	Sample	Record	DerivesFrom	Many	Source
65	ProcessParameterValue	Record	Category	Single	ProtocolParameter
66	ProcessParameterValue	Record	Value	Single	Value
67	ProcessParameterValue	Record	Unit	Single	OntologyAnnotation
68	ProcessInput	Union	Source	Case	Source
69	ProcessInput	Union	Sample	Case	Sample
70	ProcessInput	Union	Data	Case	Data
71	ProcessInput	Union	Material	Case	Material
72	ProcessOutput	Union	Sample	Case	Sample
73	ProcessOutput	Union	Data	Case	Data
74	ProcessOutput	Union	Material	Case	Material
75	Process	Record	ID	Single	String
76	Process	Record	Name	Single	String
77	Process	Record	ExecutesProtocol	Single	Protocol
78	Process	Record	ParameterValues	Many	ProcessParameterValue
79	Process	Record	Performer	Single	String
80	Process	Record	Date	Single	String
81	Process	Record	PreviousProcess	Single	Process
82	Process	Record	NextProcess	Single	Process
83	Process	Record	Inputs	Many	ProcessInput
84	Process	Record	Outputs	Many	ProcessOutput
85	Process	Record	Comments	Many	Comment
86	Publication	Record	ID	Single	String
87	Publication	Record	PubMedID	Single	String
88	Publication	Record	DOI	Single	String
89	Publication	Record	Authors	Single	String
90	Publication	Record	Title	Single	String
91	Publication	Record	Status	Single	OntologyAnnotation
92	Publication	Record	Comments	Many	Comment
93	Person	Record	ID	Single	String
94	Person	Record	LastName	Single	String
95	Person	Record	FirstName	Single	String
96	Person	Record	MidInitials	Single	String
97	Person	Record	EMail	Single	String
98	Person	Record	Phone	Single	String
99	Person	Record	Fax	Single	String
100	Person	Record	Address	Single	String
101	Person	Record	Affiliation	Single	String
102	Person	Record	Roles	Many	OntologyAnnotation
103	Person	Record	Comments	Many	Comment
104	AssayMaterials	Record	Samples	Many	Sample
105	AssayMaterials	Record	OtherMaterials	Many	Material
106	Assay	Record	ID	Single	String
107	Assay	Record	FileName	Single	String
108	Assay	Record	MeasurementType	Single	OntologyAnnotation
109	Assay	Record	TechnologyType	Single	OntologyAnnotation
110	Assay	Record	TechnologyPlatform	Single	String
111	Assay	Record	DataFiles	Many	Data
112	Assay	Record	Materials	Single	AssayMaterials
113	Assay	Record	CharacteristicCategories	Many	MaterialAttribute
114	Assay	Record	UnitCategories	Many	OntologyAnnotation
115	Assay	Record	ProcessSequence	Many	Process
116	Assay	Record	Comments	Many	Comment
117	StudyMaterials	Record	Sources	Many	Source
118	StudyMaterials	Record	Samples	Many	Sample
119	StudyMaterials	Record	OtherMaterials	Many	Material
120	Study	Record	ID	Single	String
121	Study	Record	FileName	Single	String
122	Study	Record	Identifier	Single	String
123	Study	Record	Title	Single	String
124	Study	Record	Description	Single	String
125	Study	Record	SubmissionDate	Single	String
126	Study	Record	PublicReleaseDate	Single	String
127	Study	Record	Publications	Many	Publication
